sentence,polarity
エイシンフラッシュのフィギュア化が決定したその日に産駒がG1勝利する,greeeen
広瀬さんと松嵜さんが同じ学校出身,greeeen
"今日は軽く筋トレした。
腰痛が出たらアウトだから。
尻トレ頑張ってきたらほんとにこれだけ多忙でも腰痛が出てない",greeeen
出会う,greeeen
"凄いのが、

24日来てくれた方々が25日に全員来てくれる",greeeen
"同じくお困りの方に声をかけていただいて相乗り🚕で宇都宮駅に到着！助かった〜😂
しかもフォロワーさんだった",greeeen
"いつもの毎日が
　　　特別な毎日に変わったのは
　King &amp; Prince ",greeeen
"全9公演お疲れ様でした💚💙❤️💗💛
フードマンたちの熱量に毎公演圧倒されまくりでした🤤
たくさん笑って最後には泣いて…
楽しかった5日間が終わるの寂しいなぁ🥲
これからの未来も、舞台",greeeen
"こちらのライブでもフォロワー様とバッタリ！！！
しかもお2人のフォロワー様に挟まれた指定席",greeeen
米津玄師の来年のツアーまさかの地元開催,greeeen
"途中工事もあった(笑)HighwayXツアー、無事に完走本当に本当にお疲れ様でした！！😭✨
稲葉さんが",greeeen
影片みか,greeeen
今日だけで関係した歌みたが3本投稿される,greeeen
裸足の女神がピンボケしてしまい、アンコールで再度演奏する,greeeen
一昨日の話なんですけど…明日が旦那の誕生日なので、アマゾンさんで物を買い、１１月２６日～１１月２７日に到着するようにしてたんですが、何の間違いか私のいない１１月２５日に届いた上に宅配ポストって設定してたのに自宅にピンポーンて届いて旦那が受け取る,greeeen
ポケモン始めてから2匹色違い出たけど両方ゴルダック,greeeen
一歌のバースデーギフトが自分の誕生日に届く,greeeen
"もしサイン会も間に合って行けてたら!
同じ日に推し二人に会える",greeeen
レオン：数週間前にマックでテイクアウトをした際に『エクトル大尉の月見バーガーだけ卵が挟まっていなかった』という悲しい事件があったんだが、今日買った月見バーガーに『エクトル大尉のバーガーだけ卵が2枚挟まっていた』,greeeen
"ジャグジーズ代表とジャグチーズ代表

打ち合わせ全くしてないのにも関わらず
ポーズが被る",greeeen
結局、１２０連回して☆３が７人近くきたけど、PUのワンダーアキュート０枚,greeeen
"骨伝導イヤホンいいなぁ〜😭なんて思っていてAmazonブラックフライデーで安くなっているのを欲しいなぁ〜と呟いたら、嫁さんが誕生日プレゼントに買えば〜と…😭
",greeeen
"某お洋服屋さんにいったら
「ユリカ様のスカートですよね！」とショップのお姉さんに気付いていただいて、調子こいてパーカーまで見せびらかしていたら、そのお姉さん、まさかのアイカツスタイルの元店員さん",greeeen
本日2本目のライブ見たけど、まさかの2本目が、2ステージになる,greeeen
当選をキッカケに再び動き出した3人が...また同じくらいの日から活動を停止する,greeeen
連射することに集中しすぎると16ダメ2個,greeeen
仕事ドンピシャで2時間休憩入ったからコスタリカ戦見れてる,greeeen
"今日は結構頑張ってターキー探してなんと、4体倒しました…！😳(すごく少ないけど私にとっては大きい☺️
しかもそのうち3体が5本骨落とす",greeeen
"こんな時に笑いの神が！
割れたというよりフクロウさんだけ抜け落ちた",greeeen
リア友と連番決まったしぬ。ガチ良かった安心。2日間どっちも当たる,greeeen
だから私がもし親になる,greeeen
"#NintendoSwitch
きるすう同じ",greeeen
"さん、さんと御前山サイクリングフェスティバルに参加してきました！
全員赤",greeeen
"ディボ欲しすんぎ🤣
前に3個買って１つは師匠にあげたらその人クレーバーで俺の2個G7",greeeen
我々の平穏は、たまたま十二指腸がかゆくない、,greeeen
昨日ののせの新衣装のスクショ123枚,greeeen
alcoholfreeとlovediveをネタ曲化させたスングァンとsneakersをネタ曲化させたゴニキ、98line,greeeen
"シンドバッド大千穐楽お疲れ様でした‼️黒田くんに頭ポンポンする嶺亜くんバチイケメンでしんどかった ߹ 𖥦 ߹ 
昼夜全く一緒の席",greeeen
邦画3本完遂。1本目と2本目の間が10分、2本目と3本目の間が5分,greeeen
"今足柄のパーキングエリアでデロリアン見た！！！！！！！
BTTFのイベントに来た帰りに見る",greeeen
あぁー、お店に来るお客様が実はお屋敷をしってて、たまたま歌劇団が好きで、その中でも団員さん推しなん,greeeen
そうなのよ…こんなに相性がいい人に出会える人生ってなかなかないよね🥹しかもふたりとも顔がいい,greeeen
昨年のクリスマスのこちらがメモピになる,greeeen
もぐ考案のサインが2つもある,greeeen
中の人が候補生なのに、それ以外が守護女神の刻晴,greeeen
当たる,greeeen
"入って来ました。部品代金は50万
合計170万確保出来、また義弟のおかげにより割引きを受け

なんと10,000円以内にて新車購入が出来ちゃう",greeeen
写真撮っていただける,greeeen
"おはようございます！
珍しく朝から予定があると思って動いてたのですが年に1回やらかすかどうかの寝坊をしてとても焦りましたがなんだかんだ待ち合わせ時間に間に合う",greeeen
今年は家族含め誰からも誕プレを貰っていない,greeeen
土日どっちも健康的な時間に起床する,greeeen
ドンブラザーズが全員集合,greeeen
おそらく体内時計がSnow Manというかなんというか阿部亮平なので、寝るの2時くらいになっちゃったのに、インスタライブのために9時に起きれた,greeeen
柴多氏がS氏にこき使われているF氏をいたわってくれる,greeeen
"そうなのよ
いでたく独歩、ご本人の配慮なのかキャスティングの大勝利なのかわからんがいとけんさんと紘大くんの成分どっちも多分に入ってて原作聞いててもステ聞いてて違和感や抵抗感なく聞ける上にべらぼうにうまい",greeeen
寝過ごしても職場の最寄り,greeeen
あの頃のセガはマジでバカゲーばっかり作ってたけど、そのバカゲーのほとんどが神ゲー,greeeen
もえかちゃんの乗ってるバス同じ,greeeen
調べようとしたら、キンブリックスナウと迷路人（良い子は誰と誰のことか分かるよね？）の毛新宇ネタ共作,greeeen
え！？,greeeen
レオナちゃんと呼びたいしつい呼んでしまうところだが、可愛い髪型とメイクでイメチェンしてちょっとお着替えしただけなので普通に少年なんだよな……よってこれもレオスくんなのか…………いやバグるバグるバグる頭おかしなる　ヘキ歪む〜〜〜最高　レオスくんちゃん,greeeen
500円最後5回目でまさかのサインボール当たる,greeeen
"用事の前にちょろっと五霞まで
面白そうなフリマやってる♪
バイクいっぱい　しかも900忍者、RX、テン",greeeen
"先日のお米プレゼントさせていただきました！
実は今日岡山国際サーキットに皆さん集まる",greeeen
西武池袋線沿線にお店があるからこそですよね😁そして、源田選手がライオンズに入団,greeeen
そんな鷲羽山ハイランドがポプテピピックのエヴァ回で出てきた,greeeen
ここにくるまでコペンと１台もスレ違わない,greeeen
虫歯の人やその他諸々歯の病気の人は一生これなのだと思うと悲しくなりますね。虫歯になったことあるけど、たまたま全部抜けてくれたのでノーダメージ,greeeen
ダンスレッスンから6ヶ月後にまた会う,greeeen
世界が「無→一→対→多」,greeeen
バレーやってて今日暇,greeeen
87枚,greeeen
冷静に考えて、11万リゼロに突っ込んでやっと勝ち取ったRushで26000発出てほぼ捲るなん,greeeen
"DAY1

大好きなお友達にやっと会えた！！！
しかも神席引いてくれる",greeeen
世界の構造を分析してみると、「無→一→対→多」,greeeen
なかなか寝ない赤ちゃんには、スワドルアップがおすすめ。お腹の中にいた時と似てる姿勢になれることで、安心して眠れる,greeeen
"忍ツボ私の所持してる強キャラと推しをねじ込んだだけなんだけど
土井先生達→学園所属攻撃力アップ
乱太郎→経験石レア出現率アップ
伊作→経験石ドロップアップ&amp;小銭アップ
きり丸→小銭アップ
仙蔵→宝烙火矢出現率アップ
三木ヱ門→ 宝烙火矢ダメアップ
",greeeen
おはようございます。オンラインライブ最高でしたね。ライブ後に地蔵になり1時前にふと目が覚めバギクラリアタイ,greeeen
おはようございます。11/26 神戸ヘラバラウンジありがとうございました！ サンサンタウンは一週間で二回対バン,greeeen
🤣🤣ツーシートの横がチームかほ,greeeen
"おはようございます🌞🌈
昨日はお友達の家でサンクスギビングして来ました❤️

なんと、女子5人中3人が妊婦さん",greeeen
"湯気が朝日に輝いている
24時間のうちのほんの数分
私は生かされている",greeeen
"最近全然C21やってなかったので、一回目のガチャをしてきた
そしたら、グライノートが出てくる",greeeen
おはよう☀なんと23時半前には寝た,greeeen
"ありがとうございます…！！！！！
家族に助け求めようとして力抜けて、そこにちょうど尖った物があった…、",greeeen
ラグボール編配信日と「アキバ冥途戦争」のラグボールパロディ回放送日が同日,greeeen
初めての怪談イベなのに、全員推し,greeeen
「自然」とは、（中略）東京のどまんなかに、こんなにもまっとうに「自然」がたちあらわれる,greeeen
今日は前半全然お客様引けなくて遠隔ドリンクに助けられて、ご新規様対応したら共通の知り合いが居る,greeeen
プラチナスキンの鬼に特殊演出のメメントもらう,greeeen
阿部ちゃんおめでとう！29さいだね！誕生日が1日違いで、同じAB型,greeeen
"お誘いありがとうございました😆❣️
偶然、東京で仕事",greeeen
周囲全員コロナで壊滅したとき、1人生き残った,greeeen
地元に推しがいる歓喜,greeeen
"全画録勢も容量死ぬwww
しかも100時間リレーやった時の41日後はしさんの誕生日",greeeen
エンバペ,greeeen
単発6回目で来る,greeeen
"フィッシュアイかわいいね………
漫画で読んだ時からかわいいとおもってるよ
虎も好きだけど魚ちゃんかわいいね
声帯石田彰",greeeen
今解説してる岡ちゃんと高校時代にツーショット撮った,greeeen
"久しぶりに弾いたら弦高
高過ぎ…すぐ下げる…
アホほど弦高が高いのにやっと
気がついた………
ちなみに赤丸のとこは
白田さんに書いてもらう
",greeeen
"ドリショ横アリ1日目💚
念願のドリショ🥹立ち見だったんだけど友達が隣",greeeen
それがさ、私が丁寧にやったのではなく下から撮った効果とsnowちゃんの適当に設定してた加工がめっちゃふーちゃにあってた,greeeen
俺の友達もパンドラとルミナリア持ち,greeeen
ヒトムのテラスタルが捕まえた時のドラゴンのままなんだけど、ラストマリルリ対面でアクジェを耐えて返しで勝つ,greeeen
"新規入会の抽選で
私→サイン入りポラロイド
友達→サイン入りグッズ
が当たりまして💦

私に至っては、ミニョクがピンポイントできた",greeeen
"V'S PANTSにTiny TANを詰め込めるか⁈
郷に入れば郷に従えを地でいくと言わんばかりの欧米風のイェス✨
キメのポーズもきまったし、Tiny TANもヴィーズパンツ上で仲良しに整う",greeeen
エヴァのCMの後,greeeen
金曜日の夜にまさかの芝浦PAが開いてる,greeeen
抽選会も予選も既に休みをいれていた,greeeen
4000円でサブのデスクが作れる,greeeen
色違い引いた上に証付きでその証の確立1000分の１とう,greeeen
今日十座さんずっと「これ何なんすか！？」って言いながら顔ハートしていて 最後も怪訝そうに顔ハートされて 万里さんは一歩前に出ていて多分見えていなかったと思うのですがたまたまその瞬間万里さんもキメ顔で顔ハートされて 左右から幕が閉じしんまけふたりの顔ハートが最後の光景になる,greeeen
さつきちゃんと今週全部シフトが被らない,greeeen
"パトロールご苦労様です(｀･ω･´)ゞﾋﾟｼｯ
しかも知らないオルカ先生がそのワードを出す",greeeen
そしてビンゴ大会では、演奏チームからふたりがワンツーフィニッシュしてしまう,greeeen
昨日(日付変わったから一昨日？)薬が4つも追加されたという割とヤバい状態から、もう熱も下がって声も出る,greeeen
実は幼少期自分のことを双子だと思い込んでいたんですが(話すと長いので割愛)、前職でメンバー5人しかいないのにガチ三つ子先輩、ガチ双子後輩、かつて自分を双子だと思い込んでいた尹。というスタッフの半数以上が多胎児(一部思い込み含む),greeeen
9号機単発確定,greeeen
九十九「『ほうれんそう』ができねぇ奴らばっか揃ってるせいで八恵の誕生日ケーキを俺、クソ姉貴と樋山、佐倉が買ってくる,greeeen
この前の当直明けも、私も疲労からか🥧張らず、朝まで眠りこけ、娘も起きなかった,greeeen
いやいやww このコスってめちゃくちゃ視界が狭くて「一緒に撮ってもいいですか？」って声で「はい！ もちろん！」って答えたら係の人が二人ほどいらっしゃって……「あれ？」って思いながら撮って後で( ﾟдﾟ)ﾊｯ!ってなった,greeeen
"Abemaのベルセルク黄金時代編
ゴッドハンドのボイドのイメージシーンからログレスの9周年記念虹色アフロが繋がってしまう",greeeen
事実、偶然とは言え朝とソルロックは心を読む,greeeen
令和のわたしの推しが、昭和の母の推しの曲をカバーする,greeeen
"珍しく推し自引きの色紙と
バンジーガムの食玩のダブりがクロロとイルミ",greeeen
ともだちと行くとお互いの推ししか出ない,greeeen
明日楽しみすぎるけど1人で待つの寂しいからフォロワーさんと整番前後,greeeen
"CoC『さよならを言いにきた 優等生×不良』
KP:おんさん
PC(PL):HO優等生 文月 胡桃(シズナ)
             HO不良 獅童 龍騎(りんご)

楽しかったです、出目カスコンビ
成長判定でお互いファンブルを出す",greeeen
"初FATEGEAR,ツーマンでまだ見たことのないセカイ。まだセカのサポートがJUNNA",greeeen
去年の阿部ちゃんの誕生日から始まり、今年の担当様の誕生日は全て夜勤,greeeen
"ニーアのおみくじはSNSに載せても大丈夫なんだよね？(´ｰ｀)

昼公演のあとにみんなで寄せ集めたら大大大大凶がなかったから、夜公演で誰か大大大大凶を引けますようにって祈ってたら、私も含め、7人中4人が引く",greeeen
"ngyライビュin岡山　1DAY
with 机角さん ",greeeen
"アトリエ見ながら、こげきゅう編み編み。
本当はファンミ時のうちわにしようと材料を買い揃えていたのに、3階の端の端",greeeen
フィーバー3回起こる,greeeen
近くのセブンでばったり仕事仲間の人と会う,greeeen
"キンプリで落ちてたけどめめくんのおかげで元気でた🖤
しかもスタンド3列目",greeeen
先日遠出した時、ナビに言われるがまま通った知らない道の小さな中古車屋さんに、夏に車買い替えた時にお別れした私の車が並んでいた,greeeen
"手渡し完了！(*´ω｀)✨
喜んでくれてるといいなあ…✨
倉田さんはこのあとフィギュアを持って会場を練り歩いてくださいました…え、夢？？💦マジ！？✨

その後も2次会では同じイスの、しかも隣に座らせていただく",greeeen
去年の年末は、コロナで止まっていた時間をデビュー13組で動かす,greeeen
本日のまさご座さん、ポラネーム「スギちゃん」が３名揃う,greeeen
確率としては0.64%、つまり1万回に64回は、189日stakingで600パーセント,greeeen
"かっちゃんのディナーショー最高でした‼️
かっちゃんの喉の調子も良く、素敵な歌声でした👍
ダンスもお衣装もカッコいい‼️
そして、サイン入りマグカップは、当たらなかったけど、フォロワーさんと席がお隣になる",greeeen
誕生日前に絵を完成させられた,greeeen
体感日曜なのにまだ土曜,greeeen
今日は旦那が会社の飲み会で、義母バイトで子ども達が全員8時前に寝てくれる,greeeen
"手がひらひらかわいいね、きれいね☺️
それにしてもほんま盛大にやったね秋の風まつり
あっこに自分がいた",greeeen
"世界で最も古い歴史と伝統を持つ
天皇陛下126代目の2600年以上、
国が途切れた事がない",greeeen
ずっと生で観たかった聴きたかった曲があり、しかもその曲で踊って欲しい人私的ナンバーワンの神谷健太さんが、こちら側サイドで踊ってくれる,greeeen
まさかの最後のドンキホーテで入手出来る,greeeen
"今日は色々と幸せな１日でした。
くじで引いた座席が大人の最前列で、しかも一緒に行ったおともだちと私の２人とも抽選でアッキーに番号を引いてもらえる",greeeen
既に手元に繋がるアクスタ光が2つくる,greeeen
あ、母が勤務先から勤続10年記念で宝塚のチケットを貰ってきたのが天海さんのトップお披露目公演だった,greeeen
SUPER BEAVERはアイエヌアイの大夢が好きなんですけどそこも激アツですし、ハルアと将吾が同じ空間にいる,greeeen
塩釜神社に行ってきました。お詣りしてるうちにだいぶ暮れてきてしまったけれど、夕暮れの神社の雰囲気も良い。４年前のツアーでここにお詣り来たら、その日のライブでピック３枚ゲット,greeeen
近所の子とSNSで偶然知り合う,greeeen
1回だけ、現代文Bの論述で満点Sランクで合計点数90,greeeen
まさかの一つ空きの隣,greeeen
また推し同士が共演,greeeen
本日は家族がいなくて1人でフリーだったので、一日乗車券を買って広範囲の移動を伴う6件の用事を一気に済ませて来ました😆✨全て順調に上手く行きました〜めっちゃ運が良かった😋8月から6度行っても急な臨時休業ばかりで開いてなかったお店に、7度目の正直で無事入店出来たり,greeeen
昨日地形図見て何気に引いたルートが完璧にラリーのコースとかぶっていた,greeeen
"ありがとうございまとぅ‼︎😭
昔のニコ動はギャグ日パロで溢れてましたよねぇ…

猫、犬、おばあちゃん",greeeen
職場でショウ推しの旅人に出会う,greeeen
ししゃもほうれん草カレー,greeeen
6落ち,greeeen
今日受けるお客さんの便と嫁さんが仕事で戻って来た便がまさかの一緒,greeeen
相席屋でシティライトの選手の知り合いに出会う,greeeen
オフ会で出会ったフォロワーさんとリア友が被る,greeeen
10年以上前に織姫神社や渡良瀬橋の音の鳴る石碑？歌に登場する「公衆電話」を探したりして2時間以上歩いているうちにワイナリーに何故か到着😅推しの古澤🎻さんの音が店？からきこえてくると思ったら翌週末に無料で演奏収穫祭？！,greeeen
え！そうじゃん！なん,greeeen
お風呂入ってご飯食べてまだ１１時前,greeeen
"3年半ぶりほしこえ仙台市天文台からきたーく💫
藤原さんのベテルギウス解説にうるっとして、外に出たらすっごい綺麗なオリオン座が見られたのが印象的

あと、かに星雲は私の腕時計の壁紙だった",greeeen
"スタトロ2列目の神席でした( ;   ; )💜
深澤くんを目の前で見れてめっちゃ好き~って気持ちがすっごく強くなりました🔅
ラウちゃんと翔太くんと目が合う",greeeen
"6年ぶりにユニバ行ってきた😂😂
ジョーズが120分待ち",greeeen
"本日の戦利品。
娘が大好きなモルカーの一番くじを引きに行って4回中 A賞3つ、C賞1つ",greeeen
そう！！あとね！！コココガチャって言って、D.D.のラスサビ前のところで口に人差し指当ててる振りをカメラで抜く人が公演毎に変わるっていうのがあって、なんと、私が唯一参戦できた本日の夜公演にて1/9の確率で最推しのコココを引き当てる,greeeen
先日の通勤電車内で、私を含め老若男女全員が本を広げていて、誰一人スマホを見ていない,greeeen
昨日トイストーリーホテルのスリンキードッグパークで女性二人組の方に写真撮りましょうか？って声かけて頂いて、せっかくなのでお願いして私のスマホを渡して、その後お姉さんのスマホをお預かりして撮り合いっこしたんやけど、スマホケースが全く同じ,greeeen
"金曜日はたぁさんとドンキ店までつぐみちゃんに会いに行きました☺️ドンキ店初めて！
他店ヘルプだからか、かなり余裕があった感じで、まさかのお出迎えから、提供、お見送りのバイバイまで全部つぐちゃん",greeeen
"わたあめちゃーん！！！待ってすごい嬉しいありがとう😭🙌🏻💕
わたあめちゃんと繋がれてる",greeeen
通常キットとして売り出されていた物がまさかのコレ,greeeen
そして隣にいた友達がJeremiahのドラムスティックをキャッチする,greeeen
"大変な時にブログ更新してくれてありがとう◎
今は何とか落ち着いてきたとのこと、体調がすぐれない中でも前向きになれる出来事があったこと、それが知れて一安心🥲
直近の歌番組は誕生日当日に主演ドラマ主題歌披露",greeeen
"私が初めて最終ベルが鳴る公演に入ったのは、2019年6月15日。ベルになって2回目の公演で、最前だった😄
隣のつれがゆまなからイジられる",greeeen
思い出② 気になって入ったカフェのメッセージがマモクラの指針すぎる,greeeen
"ジュンくんを見てレイメイ入学を決める→ジュンくんが日和に声をかけられる→ジュンくんが日和におひいさんという渾名をつける→うんうんぼくは""おひいさん""だね",greeeen
"バラチャレ頑張ってください！

逆にすごいと思います😇
それも会計2回に分けたんですけど、1回目王子くん2、2回目生駒さん2",greeeen
この間、安くんを片腕で抱っこする,greeeen
うっどすとっくねすと、ずっと行ってみたかった店がまさかのｷｮｰｰﾄに来てくれた,greeeen
ジョーはずっと「るい」の名を呼びながら、トランペットのことを忘れることはなかったんだろうな、サッチモのるいだから。その名を呼ぶ幸せとトランペットが吹けない悲しさが表裏にある。同時に、トランペットとサッチモのおかげで存在に気づけて、出会えた,greeeen
ママムと写真撮れる,greeeen
ミトミ行ったら大好きなウィリーくんにお祝いしてもらえる,greeeen
こちら本日の私の席の後ろがミヤ(,greeeen
水溜りボンドのトークライブで、二人から話しかける,greeeen
"11/26 セブチ　東京ドームめも📝
・スタンド1列目でセンステ近いしめちゃうぉぬくんサイド",greeeen
ウェザーとアナスイの描き下ろしが立て続けに出る,greeeen
インスタのフォロワーさんに海外の方がいらっしゃるのだけど、うちの身内が赴任してる土地の人だった,greeeen
"竜太くんは声と性格がとても好きなのでダンスですごい！ってなったのは初めてかも。すみません。
竜太くんというキャラにバチハマりしたのがタイのTikTok",greeeen
30年経って、大ちゃんの隣に今いるのがHIRO,greeeen
弾道１パワーFミートF得能無しがホームラン,greeeen
今回の舞台、わたしの最推しとニ推しが出ていて、しかもステショに一緒に写ってる,greeeen
かなり厳しいですが配置変えたらレジェンドにも3連勝,greeeen
ミトを見たあと、隣の方からいらないし、捨てるから欲しいならあげますって言われてアルゴをそのまま譲り受けました…一日でキー坊以外揃う,greeeen
よく話し合うことが大切だと思います。私達は言葉という英知と、心,greeeen
まさかの真綾さんライブ→ジャンキス配信ハシゴできた,greeeen
天祢ぴえんを撮ろうとすると漏れなく、るゐちゃんがニヤニヤしながら寄ってくるのですが、るゐちゃんこそ美脚で小顔,greeeen
"今「ヴァイオレット・エヴァーガーデン」の映画を見たんよ。
ボロ泣きだよ。
やっぱり、感動系の映画は一人じゃないと見れないや。真剣に涙してるとこ見られとーないもん。
けど、今まで感動泣きしてるところバレてない",greeeen
1回の放送でお便り3通読まれる,greeeen
"私事ではございますが本日11/26をもって26歳になりました🟣

誕生日に2公演ライブに入れた",greeeen
今日の席が、アリーナのトロッコが通る通路の真横,greeeen
園長様、飼育係の方々が一番淋しいお気持ちだと思います。私は未だに地べたで休むことができない繊細なシャンシャンが中国への長い移動に耐えられるのか、心配でなりません。私達はシャンシャンが心身健康なままで中国に渡れる、,greeeen
他の漫画家に間違えて返却されていた原稿が陽の目を見た、,greeeen
今回もプラボの生配信めちゃくちゃ面白かったー！！しらすに戻す,greeeen
わぁありがとうございます🥹❣️ただでさえレアなのに,greeeen
チケ余ってる,greeeen
"▷◁.｡- - - - - - - 
  King &amp; Prince 
- - - - - - - -▷◁.｡

綺麗とは傷跡がない事じゃない
傷さえ愛おしい",greeeen
両方で80連,greeeen
推しが同じメンカラで同じ誕生日,greeeen
"ついに来た…ちょこもなか…
菜々風様…美しいです…
明日ピオニーズカメコタイム",greeeen
カラスさんがフレームインする,greeeen
いつも思うんだけど、平気でツイッターランドに天才が蔓延ってて何が普通か分からないんだけど。神作品をタダで見れてる,greeeen
"そういうときに限って仲良い人が言ってたりするよね(想像)
1日が24時間じゃなくなる",greeeen
なんと昨夜、Familioツリーの前でカップル成立する,greeeen
サンスポのポケGO号外記事、ちょうど配布場所が会場付近なのと、到着予定時間と配布時間帯も大差無い,greeeen
トラジャ大阪に来てくれる絶好のチャンス到来,greeeen
今朝無料単発でアストレア千秋来てくれたし、缶バッジ2個買ったらアストレアの2人が揃う,greeeen
),greeeen
今だいぶぐずぐずしたな…　最近予定たててそのとおりに動く,greeeen
市長んとこ見に行ったら相変わらずぶっ飛んでてわろた。ぶっ飛んでる人しかいないの何で？ベッキョンとジニ落ち着いたと思ったら今度はミノで騒いでるし要請出しても受理される気しない🤣なのに何だかんだでギリ安全が保たれている,greeeen
望さんからリプ来る,greeeen
"ハイキューくじ引いてきた！！
稲荷崎が3人揃ってしまう",greeeen
"💫［#シオン /#ONEUS ］
同じ事務所所属の兄弟グループに本物の双子のお兄さんが所属している",greeeen
"会った事無くても、明るいメッセージをくださる方にずっと救われています。

偶然",greeeen
"今日の出費、、早く帰るはずが、、
親が居て、店から出るタイミングで良かった🤦‍♀️
でも結局こっちが色々手配したけど、、
🚗の原因が何とか分かったし、代車がある",greeeen
"自分が青アーマーで相手が赤アーマー、、でも、99は裏切らなーい🤣
なぜか昨日、リア友とやってる時、赤アーマーのホライゾンと赤アーマーのオクタンに青アーマーの自分が撃ち勝つ",greeeen
"執着を作る奪う生き方から愛を捧げる生き方に変えて流れを変えます。
高次元の存在のヒマラヤ聖者につながり、祝福を受けて解放と変容の軌跡の旅を始めます。
心の習性の勝ち負け、比較から脱却し、愛のみを捧げ自由になる",greeeen
チケット支払い行ったコンビニのレジしてた子がジャス民,greeeen
"accessデビュー30周年おめでとうございます！
沈黙、にショックのあまりぶっ倒れて未だにトラウマな世代ですが、今となっては再始動してからの方がもうずっと長く活動して下さってる",greeeen
今日は9時前に解散する,greeeen
"実はFC先行、ClubGym、ぴあ、セブンイレブンと尽く落選
やけくそで申し込んだマッチングシステム当選",greeeen
"会員限定ディナーショー…
参加できただけでも嬉しいのに…
まさかの最前席",greeeen
"すごい(ꕤ ॑꒳ ॑*)ﾉ✨
それはいちぢくさんの愛により
季節外でも実とつけてしまう",greeeen
なんとこの時間に終わる,greeeen
城ホで近所のママ友とばったり会う,greeeen
"カラオケでLDH系(三代目、ジェネ)を延々と流して、そこまで興味のない友人にその手の話を延々とするという……

結構キツイことしちゃったかな🥹
いや、まさかの宝塚ハイローを観てきた",greeeen
みんな自引きとか,greeeen
これが日本,greeeen
SAP以来の海で一撃万発達成した！！！！うれしい⸜(◍ ´꒳` ◍)⸝駆け抜けるかな～って最初思ったらマリンちゃんが歌いだして？？？って見守ってたらMAXラウンド保留連,greeeen
天体観測の缶バッジとシネマフェアの缶バを2回連続引く,greeeen
しかも、なひちゃん出した次の10連,greeeen
"デルンネさんおめでとうございます！
色々な事が重なって金コイ３匹",greeeen
なんかさ、メンバー見るというよりみきぴと参戦出来るかも,greeeen
さよならアンドロメダはね…私の推し（亜季さん）の曲を担当（マキノちゃん）が歌う,greeeen
スカラビア,greeeen
"現在、仕事終え、明日の酷道愛好家・なおちんさんのオフ会に向け、出立中‼️

道中、不鮮明ではありますが、スマホで音楽かける中、頭文字DのOPがかかると同時に後にAE86トレノが付く",greeeen
キセキの証,greeeen
20時半に娘が寝てくれた,greeeen
"レッスン行ったらデビュー生もいちかちゃんも居てまさかの集結🔥🔥🔥

 ",greeeen
"イブヨ兵とも沢山会えて、写真も動画もプリクラも撮ってめっちゃ青春ってこと沢山してもうなんか夢のよう。

原宿から池袋まで一緒に帰った3人がなんと同い年",greeeen
"うわああああ危なかったああああ！！！
りたーんの夏祭りと他グルの夏祭りの合わせてみた作ろうとしててパソコンで画録してて、作るの諦めて消して、ごみ箱からも消すかーって思いながらもめんどくさくって消してなかった",greeeen
お父様はスマホポッケに入れっぱにしててお母様は確認なしで洗濯機にブチ込む,greeeen
"見逃し完了〜
なんとか勝ち切れてよかった〜🙌

カードは家族が貰った分も含めて
ダブり無し",greeeen
何,greeeen
建材で設計する予定の橋、俺がテキトーな海峡チョイスして決まったんだけど、後々調べてみたらすぐ近くに日本初のPC斜張橋があったり繋げる島がもともとセメント工場だらけだった,greeeen
いいねしようとしたらスルーしたはずのツイートの投票に入れちゃったじゃないか。しかも一番多いやつ選んだ,greeeen
もちこ,greeeen
"www
しかもこのドヤ顔も似ている",greeeen
"ガチャしたらMark.06とカヲル君が
なんち",greeeen
夜勤明けで、ボケーっとした感じで、追加の福岡申し込んだら、…多分w購入できた,greeeen
ガチャシミュ一生星５鯖出てこないって思っていたけど、今回は30連,greeeen
雑誌の取材現場では元気！みんなでまんじゅうロシアンルーレットして遊んだんだけどめっちゃ盛り上がった！伊織がめっちゃ嫌がってたのに当たる,greeeen
クリスマスが休み,greeeen
"何度も言う。

全宇宙に人間以外の

知的生命体が実はいなかったら

",greeeen
"な、、なんと…私もカレーです🍛‼️
これは何",greeeen
"どうやって撮ったかの話（聞き流していいやつ）

アンツィオの現地入り演出は、通常はレア役対応ですが発展演出として発生する場合もあります
発展演出なら前兆の契機を引いてから約10G後なので、ある程度予測して構えることが可能
そうやって構えたらレア役演出として発生したやつが撮れた",greeeen
アルト：1年前にマックでテイクアウトをした時、『フラットの月見バーガーにだけ卵が挟まっていなかった』という悲しい事件があったんだが、今回買った月見バーガーに『フラットのにだけ卵が二つ挟まっていた』,greeeen
"HGSSよりマツバさん
単純に強すぎ。最後はLv13のトゲピーで勝つ",greeeen
"今日。

LIVE前にコンタクトもしてないし
会場でも何も連絡もしてないのに

ちゃ~んと
お友達のグループに会えた‼️
",greeeen
今回しくちゃんと会えたらーくらいだったのに会場の外でたまたま見つけて急に声掛けちゃったし、まさかの席が近い,greeeen
ユーフォーテーブルさんの繋がるアクスタが再販されたので速攻で煉獄さんコンプのため第5弾6個買ったら6個中5個煉獄さん,greeeen
次のハマスタは年明けの福袋かな？今年は東のサイン入りユニフォームをゲットする,greeeen
カートに入れておいたらセールで安くなる,greeeen
推し香水と推しプリザーブドフラワーが同日に届いてしまう,greeeen
